season,week,game_id,posteam,passer_player_name,passer_player_id,defteam,roof,is_home,l16_passing_yards,l16_yards_per_attempt,l16_attempts,l16_pass_td,l16_int,l16_wp,def16_passing_yards,def16_yards_per_attempt,def16_attempts,def16_pass_td,def16_int,def16_wp,pass_touchdown
2009,3,2009_03_DEN_OAK,LV,J.Russell,00-0025388,DEN,0,1,147.25,5.762844849133654,26.6875,0.75,0.625,0.388133714154288,217.875,6.948003767706053,33.125,0.9375,0.5,0.5227450316521034,0.0
2009,3,2009_03_GB_STL,GB,A.Rodgers,32013030-2d30-3032-3334-35395dc60da5,LA,1,0,230.1875,6.2746439758158505,36.8125,1.625,0.8125,0.46625123125845513,208.375,7.046677406402807,30.0,1.0625,0.875,0.6098518407203001,2.0
2009,3,2009_03_GB_STL,LA,K.Boller,32013030-2d30-3032-3231-3634ecb7f7d7,GB,1,1,45.0,1.6562972972972974,16.0,0.0,0.0,0.045057125591341764,203.125,6.268310841185598,32.6875,1.4375,1.5,0.4799974590049853,2.0
2009,3,2009_03_IND_ARI,ARI,K.Warner,00-0017200,IND,1,1,276.5625,7.1605039004201805,38.4375,2.0,0.875,0.5090921665330352,191.375,5.5755113781684775,34.1875,0.375,1.0,0.413926534231359,1.0
2009,3,2009_03_IND_ARI,IND,P.Manning,32013030-2d30-3031-3033-3436e2e70d78,ARI,1,0,253.875,7.770346011600482,34.4375,1.75,0.5625,0.5022020387333849,228.4375,6.197960743493435,37.3125,2.125,1.25,0.42755424190968283,4.0
2009,3,2009_03_JAX_HOU,HOU,M.Schaub,32013030-2d30-3032-3237-3837e8f3d1a2,JAX,1,1,261.38461538461536,7.0835054508253235,36.76923076923077,1.4615384615384615,0.8461538461538461,0.43167468663186426,235.1875,7.386435325779356,32.0625,1.625,0.75,0.5805806203381251,3.0
2009,3,2009_03_JAX_HOU,JAX,D.Garrard,00-0021231,HOU,1,0,213.625,5.928802484374361,36.375,1.0,0.6875,0.36546534327347063,224.4375,7.051390957901625,32.375,1.5,0.8125,0.44650293094442434,0.0
2009,3,2009_03_KC_PHI,KC,M.Cassel,32013030-2d30-3032-3336-3632a25ecc29,PHI,0,0,223.625,6.1782357839175,36.5625,1.3125,0.8125,0.560240853532233,182.6875,5.125031333788422,36.0,1.1875,1.25,0.4026830011890387,2.0
2009,3,2009_03_KC_PHI,PHI,K.Kolb,32013030-2d30-3032-3534-32335132798a,KC,0,1,87.5,4.228348513213156,16.666666666666668,0.3333333333333333,1.1666666666666667,0.6678003793596398,242.5625,7.069043412275478,34.875,1.4375,0.875,0.5465637647050665,2.0
2009,3,2009_03_MIA_SD,LAC,P.Rivers,32013030-2d30-3032-3239-34322bc30020,MIA,0,1,249.0,7.305096111731524,34.6875,1.875,0.75,0.45400668969649494,223.875,6.17711506370556,36.6875,1.0,1.0625,0.4172209264399068,0.0
2009,3,2009_03_MIA_SD,MIA,C.Henne,32013030-2d30-3032-3631-3937880c57ee,LAC,0,0,67.0,5.583333333333333,12.0,0.0,0.0,0.00022867938605486415,232.875,6.509850047452374,36.25,1.3125,0.8125,0.4964851743082159,0.0
2009,3,2009_03_NO_BUF,BUF,T.Edwards,32013030-2d30-3032-3534-37392cb6f6b5,NO,0,1,183.5625,6.307584608062656,28.75,0.9375,0.6875,0.4620283175660406,226.0625,6.643103984040005,35.5,1.3125,1.25,0.4363511742346254,0.0
2009,3,2009_03_NO_BUF,NO,D.Brees,32013030-2d30-3032-3035-33318e1e348d,BUF,0,0,317.9375,8.042526401877144,40.6875,2.4375,1.0,0.5133674275354878,226.4375,6.690023425017404,34.4375,1.125,0.6875,0.5593892083190614,0.0
2009,3,2009_03_NYG_TB,NYG,E.Manning,32013030-2d30-3032-3238-3033cc58aa39,TB,0,0,192.6875,6.269953875040171,30.875,1.25,0.75,0.5648648207623036,193.5625,6.326688339666196,31.0,1.5625,1.25,0.5211782005059992,2.0
2009,3,2009_03_NYG_TB,TB,B.Leftwich,32013030-2d30-3032-3231-3737dee12508,NYG,0,1,106.625,5.79478495551465,16.75,0.75,0.25,0.6428211453731443,197.8125,6.01967548946761,33.5,1.0625,1.375,0.38907323469358346,0.0
2009,3,2009_03_PIT_CIN,CIN,C.Palmer,32013030-2d30-3032-3134-32391c8963bc,PIT,0,1,176.33333333333334,5.181287477954145,33.833333333333336,1.0,1.3333333333333333,0.35322702302193393,182.6875,4.870617901577033,37.0,1.0625,1.25,0.3696782123889957,1.0
2009,3,2009_03_PIT_CIN,PIT,B.Roethlisberger,32013030-2d30-3032-3239-3234f41ff7f7,CIN,0,0,209.0625,6.028520729249002,34.6875,0.9375,1.0,0.5522220490066526,217.875,6.411511923756747,34.5,1.5,0.75,0.5178808761393107,1.0
